particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	-4110.60272712679	-3629.21930517467	-1194.180735672999	-156.9704817949785	-0.3623907766337623	1.323030751931021	-0.03152064774398736	-0.01040682631526827	0.001011514963093532	1.485034712480003e-05	-1.112065706416427e-05	9.83170801758413e-07	4.184955085683725e-09	-1.034682092326632e-08	1.158599980015804e-09	-3.004638398805419e-11	-8.610560052514377e-12	1.345528995405494e-12	-6.196970361050932e-14	-8.370444674975445e-15	1.593103489943678e-15	-2.944306380245662e-17	-2.141106569296979e-17	-8.757974923310075e-19	2.605788235099382e-05	0.00429444467954343	2e-10	1e-05
-99	-4068.723871697173	-3588.245614865428	-1179.127462074652	-154.6761061021092	-0.3201805806417429	1.303010587321093	-0.03145754497437477	-0.01021735623040756	0.0009977821605794718	1.411247595013876e-05	-1.091152473141864e-05	9.689935939958178e-07	3.587208280797849e-09	-1.012894537656251e-08	1.138886480464477e-09	-2.99836663869661e-11	-8.402924501414703e-12	1.31928805262288e-12	-6.115895245607409e-14	-8.156892841145216e-15	1.560135713785175e-15	-2.921918542211449e-17	-2.093742374511453e-17	-8.548961361985752e-19	5.963112392759484e-07	0.004404450756803513	2e-10	1e-05
-98	-4023.965228547208	-3544.64259506258	-1163.174910702218	-152.2564411617124	-0.2768363716809343	1.281919188289299	-0.03137847031406837	-0.0100187205475721	0.00098326687740886	1.335067254595412e-05	-1.069243920956995e-05	9.54036552005354e-07	2.973649048625877e-09	-9.901265197374931e-09	1.118183898204533e-09	-2.99057181031695e-11	-8.186517634329877e-12	1.291820544765964e-12	-6.030093701088099e-14	-7.934544422493928e-15	1.525671691040582e-15	-2.897657388731546e-17	-2.044296715202608e-17	-8.331081476140911e-19	3.471830349877081e-06	0.004513451988078621	2e-10	1e-05
-97	-3976.253252432729	-3498.344793265232	-1146.301351552279	-149.7085869347509	-0.2323461784357724	1.259732002763999	-0.03128289774545599	-0.009810721458334956	0.0009679505406012204	1.256458991310189e-05	-1.046318813188161e-05	9.382814769323075e-07	2.344129447316659e-09	-9.663579824428395e-09	1.096470372321688e-09	-2.981202723217746e-11	-7.961169584577688e-12	1.263100678226682e-12	-5.939451516472197e-14	-7.703233395298234e-15	1.489680693824244e-15	-2.871470260257242e-17	-1.992728006022617e-17	-8.104163706517931e-19	8.741509921694757e-06	0.004621321888711116	2e-10	1e-05
-96	-3925.513522508435	-3449.286052321664	-1128.484850765502	-147.0296223033082	-0.1866986713399617	1.236424312046392	-0.03117028935544303	-0.009593160448443088	0.0009518144171310502	1.175388928366537e-05	-1.022355851268948e-05	9.217100283202965e-07	1.698511899927617e-09	-9.415688607962343e-09	1.07372393522643e-09	-2.970206966561899e-11	-7.726710987906977e-12	1.233102606658942e-12	-5.843853380807437e-14	-7.462794508660971e-15	1.452131975029452e-15	-2.843303611194274e-17	-1.938994705942277e-17	-7.868037023542139e-19	2.788682718102287e-05	0.004727929339780057	2e-10	1e-05
-95	-3871.670891407631	-3397.399648953235	-1109.703319101027	-144.2166120710154	-0.1398832573609437	1.211971291013571	-0.03104009585505761	-0.009365838841373117	0.0009348396561596374	1.091824197234356e-05	-9.97333734461983e-06	9.043037667963098e-07	1.036670654830828e-09	-9.157391422547199e-09	1.049922570006263e-09	-2.957530948002112e-11	-7.482973559556441e-12	1.201800505885766e-12	-5.743183128690185e-14	-7.213063878212876e-15	1.412994862026997e-15	-2.8131030846145e-17	-1.883055452271258e-17	-7.622531515673738e-19	3.105556337756887e-06	0.004833136721216102	2e-10	1e-05
-94	-3814.649512897722	-3342.618323689523	-1089.934523989715	-141.2666089957686	-0.09189013805669193	1.186348026178112	-0.03089175640429818	-0.009128557986984257	0.0009170073004621882	1.005733033946137e-05	-9.712311810301145e-06	8.860441663415902e-07	3.584926457504468e-10	-8.888488899506069e-09	1.025044229382415e-09	-2.943119874685191e-11	-7.229790328297059e-12	1.169168601027706e-12	-5.637323804300621e-14	-6.95387923232719e-15	1.372238791752414e-15	-2.780813517667265e-17	-1.824869112588313e-17	-7.367478625603266e-19	2.145353232618774e-06	0.004936801186872231	2e-10	1e-05
-93	-3754.372838490554	-3284.87428474331	-1069.156093560369	-138.1766548768679	-0.04271037853542897	1.159529525985648	-0.03072469810228665	-0.008881119400486363	0.0008982982912950729	9.170848857814733e-06	-9.440269443468001e-06	8.669126204357136e-07	-3.361214652565359e-10	-8.608782621537614e-09	9.990668485802787e-10	-2.926917700288855e-11	-6.966995850233335e-12	1.135181187932629e-12	-5.526157682499461e-14	-6.685080144451182e-15	1.329833339902846e-15	-2.746378919335607e-17	-1.764394830161967e-17	-7.102711366810488e-19	1.813210433576629e-06	0.005038773616575232	2e-10	1e-05
-92	-3690.763778463334	-3224.099358825022	-1047.345569795595	-134.9437882891901	0.007663983209206789	1.131490787488071	-0.03053833652313219	-0.008623325367696241	0.0008786935151126224	8.258506199792694e-06	-9.156998794051272e-06	8.468904894198365e-07	-1.047255646242915e-09	-8.318075805353319e-09	9.719684091228437e-10	-2.908867167830114e-11	-6.694426850919066e-12	1.099812716498321e-12	-5.40956654222541e-14	-6.406508692452799e-15	1.285748325060347e-15	-2.709742554414494e-17	-1.701592172706763e-17	-6.828064975867415e-19	3.203989751288105e-07	0.005138899749918546	2e-10	1e-05
-91	-3623.744949404857	-3160.225219236248	-1024.480487590004	-131.5650558501	0.05923980065584366	1.102206892987934	-0.03033207674286844	-0.008354979802969361	0.000858173872183255	7.320027960540162e-06	-8.862290367862685e-06	8.259591694980581e-07	-1.774976423228188e-09	-8.01617425541946e-09	9.43727029970199e-10	-2.888909893570162e-11	-6.411923111922695e-12	1.063037908035065e-12	-5.287432069195275e-14	-6.118010365401784e-15	1.23995395456046e-15	-2.670847077023887e-17	-1.636421339574911e-17	-6.543377815265755e-19	2.773987365456421e-05	0.005237016937770123	2e-10	1e-05
-90	-3553.23833819755	-3093.183091491255	-1000.538278544652	-128.037499619905	0.1120228500948117	1.071652904101224	-0.03010531088496525	-0.008075887411042372	0.0008367201961991068	6.355155332763835e-06	-8.555935727529275e-06	8.041000146352027e-07	-2.519333404906536e-09	-7.70288551712528e-09	9.143208744880656e-10	-2.866986144875009e-11	-6.119326752209608e-12	1.024831645680279e-12	-5.159635370144835e-14	-5.81943335605177e-15	1.192420693580599e-15	-2.629634308973284e-17	-1.568842983926543e-17	-6.248490636883071e-19	1.07949612944136e-05	0.005332958692942591	2e-10	1e-05
-89	-3479.165827118497	-3022.904232699999	-975.4964353365953	-124.35818017104	0.1660175929484578	1.039804058993209	-0.02985742066850487	-0.00778585540325983	0.0008143133961507915	5.363650088261899e-06	-8.237729365314817e-06	7.812944783347164e-07	-3.280355670726998e-09	-7.37802075384614e-09	8.837283341391417e-10	-2.843035058448417e-11	-5.816483947684879e-12	9.851692072394977e-13	-5.026057811653202e-14	-5.510630308863216e-15	1.143119552555871e-15	-2.586045540187692e-17	-1.498818617939329e-17	-5.943248333390528e-19	1.243912961301774e-06	0.005426550091652604	2e-10	1e-05
-88	-3401.449357399998	-2949.320088212771	-949.3325682037358	-120.5241850408362	0.2212270318913581	1.006635845700262	-0.02958777773256997	-0.007484694183612884	0.00079093450669403	4.345297200697078e-06	-7.907469460523467e-06	7.575241652668052e-07	-4.058049624116565e-09	-7.041395536698925e-09	8.519281000125013e-10	-2.816994662224182e-11	-5.503245686748251e-12	9.440263605582021e-13	-4.886581312456571e-14	-5.191459100760875e-15	1.092022207340705e-15	-2.540021606654948e-17	-1.426310785979615e-17	-5.627500704690227e-19	1.083841736271296e-05	0.005517608760064796	2e-10	1e-05
-87	-3320.010584049695	-2872.36198603613	-922.0243038844309	-116.5326152701158	0.2776527695665415	0.972123888445637	-0.02929574127832842	-0.007172216428007011	0.0007665646029037556	3.299903087480373e-06	-7.564956887931493e-06	7.327707479016879e-07	-4.852399902472454e-09	-6.69282889601162e-09	8.188990615778311e-10	-2.788801662411948e-11	-5.179466949066241e-12	9.013792421287113e-13	-4.741087830565593e-14	-4.861782025548028e-15	1.039100853000482e-15	-2.491502667187217e-17	-1.351282864069714e-17	-5.301101617790756e-19	5.427121277312708e-05	0.005605947294745173	2e-10	1e-05
