particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	-4393.490971270784	-3886.270688454233	-1281.621351003099	-169.0619392073042	-0.4619312822858724	1.426223634010409	-0.03316765181300278	-0.01128134975759361	0.001087294386710715	1.702251937451254e-05	-1.20687678273085e-05	1.058459989542334e-06	5.570852344416148e-09	-1.127543026622323e-08	1.253299687601781e-09	-3.161268643261707e-11	-9.435680040438014e-12	1.462163224012867e-12	-6.655311223767227e-14	-9.195715867772136e-15	1.734965527311805e-15	-3.130224019044097e-17	-2.337805736933937e-17	-9.592705486884599e-19	4.452483727634959e-05	0.004413778434501858	2e-10	1e-05
-99	-4354.933107842059	-3848.152113648006	-1267.476485105102	-166.8809811955543	-0.4192856773928743	1.407147670731921	-0.03313492729554713	-0.01109870678402068	0.001074315611746361	1.628530140268902e-05	-1.186680405968474e-05	1.04500202374737e-06	4.965398771369122e-09	-1.106374959775467e-08	1.234375006948762e-09	-3.157970748833076e-11	-9.232633704459349e-12	1.436768622575988e-12	-6.578979621140459e-14	-8.986341643733007e-15	1.702957084969502e-15	-3.110451710866875e-17	-2.291661044202546e-17	-9.388332987235213e-19	5.711203870051307e-06	0.004534984327387415	2e-10	1e-05
-98	-4313.396654464595	-3807.309041568155	-1252.397834995931	-164.5695375944581	-0.3754144879756784	1.38695533236389	-0.03308606357476143	-0.01090647334264638	0.001060523462520949	1.552249778651065e-05	-1.165441768847833e-05	1.030732483480776e-06	4.342771873981972e-09	-1.08417735351587e-08	1.214417039759329e-09	-3.153139126436347e-11	-9.020345251482649e-12	1.410088308337005e-12	-6.497742513092317e-14	-8.767683853708186e-15	1.669377773105546e-15	-3.088759698212037e-17	-2.243327185961897e-17	-9.174616741284075e-19	2.077388966403859e-05	0.004655415657091488	2e-10	1e-05
-97	-4268.799638979891	-3763.668235740121	-1236.360970905861	-162.1243243758185	-0.330301325267889	1.365618770549621	-0.03302049645990342	-0.01070442258708361	0.001045897005576557	1.473367358414744e-05	-1.143136462526292e-05	1.015630797789816e-06	3.702759364050862e-09	-1.060926961391642e-08	1.193400827460957e-09	-3.146719132637322e-11	-8.798615530146428e-12	1.382092546165863e-12	-6.411471629184735e-14	-8.539546746630914e-15	1.634191997310936e-15	-3.065090322461729e-17	-2.192755715304538e-17	-8.951355524599125e-19	1.934902541522732e-06	0.00477494573997439	2e-10	1e-05
-96	-4221.058715305945	-3717.155301712027	-1219.341104645824	-159.542014960594	-0.283930251537709	1.343109786926443	-0.03293764711185245	-0.01049232539781263	0.001030415013551043	1.391839798777995e-05	-1.119739845982855e-05	9.996761208218074e-07	3.045156589163673e-09	-1.036600360153365e-08	1.171301135614211e-09	-3.138654646371019e-11	-8.567244386089139e-12	1.352751338070158e-12	-6.320036792708359e-14	-8.301733832383859e-15	1.597363887368915e-15	-3.039384721353204e-17	-2.139897872319743e-17	-8.718347118701156e-19	5.452156007335063e-06	0.00489344064696362	2e-10	1e-05
-95	-4170.089402597509	-3667.694906283713	-1201.313165164035	-156.8192509070529	-0.2362859004562065	1.319399924635022	-0.03283692310436658	-0.0102699511875806	0.001014056030460558	1.307624679470666e-05	-1.095227134115378e-05	9.828473972634724e-07	2.369768386859679e-09	-1.011174038785328e-08	1.148092539711667e-09	-3.128888155811748e-11	-8.326031485925165e-12	1.322034533099313e-12	-6.22330630383524e-14	-8.054048723538744e-15	1.558857433595457e-15	-3.011582959094715e-17	-2.084704777368247e-17	-8.475389151412311e-19	6.184432755351743e-06	0.005010761087401616	2e-10	1e-05
-94	-4115.80600386108	-3615.210710439129	-1182.251778338289	-153.9526396122439	-0.1873535126812659	1.29446044970781	-0.03271771752549204	-0.01003706779003307	0.000996798355727216	1.220680276137479e-05	-1.069573386550124e-05	9.651233477015114e-07	1.676409614266369e-09	-9.846243906579207e-09	1.12374941121792e-09	-3.117360672485232e-11	-8.074776281265377e-12	1.289911814839898e-12	-6.121146837734489e-14	-7.796295113748255e-15	1.518636474168904e-15	-2.981623959803805e-17	-2.027127417503272e-17	-8.22227905854019e-19	2.849690422523921e-05	0.005126761314582562	2e-10	1e-05
-93	-4058.121642843651	-3559.625407210776	-1162.131281615419	-150.9387566942707	-0.1371189973969895	1.268262372044361	-0.03257940883168739	-0.00979344167415524	0.0009786200575781735	1.130965666197851e-05	-1.042753531680356e-05	9.464824828203446e-07	9.649060980689387e-10	-9.569277398456685e-09	1.098245939212852e-09	-3.10401171130688e-11	-7.813278273907142e-12	1.256352732287562e-12	-6.013423518035628e-14	-7.528277057801419e-15	1.476664735114273e-15	-2.949445513612361e-17	-1.967116705751663e-17	-7.958814353898904e-19	3.287068768731416e-06	0.005241289151673212	2e-10	1e-05
-92	-3996.948406985436	-3500.86085754341	-1140.925772648444	-147.7741532121216	-0.08556904991507586	1.240776507902488	-0.03242136117623323	-0.009538838524827275	0.0009594990161184965	1.038440946564772e-05	-1.014742430713048e-05	9.269031474055105e-07	2.350964111905962e-10	-9.280604077622025e-09	1.071556191037624e-09	-3.088779312265923e-11	-7.541337652361684e-12	1.221326780489779e-12	-5.90000016601075e-14	-7.249799629617832e-15	1.43290593186014e-15	-2.914984344001623e-17	-1.904623627415993e-17	-7.684793276518912e-19	8.674535544872519e-06	0.005354185609468876	2e-10	1e-05
-91	-3932.197471046896	-3438.838207805673	-1118.609151401869	-144.4553619289356	-0.03269125566593477	1.211973534117651	-0.03224292466829613	-0.009273023748467659	0.0009394129605698885	9.430674262271058e-06	-9.855149335070536e-06	9.063635584265732e-07	-5.131665425337625e-10	-8.979987714340108e-09	1.043654165035595e-09	-3.071600055613036e-11	-7.258755850527969e-12	1.184803470962846e-12	-5.780739515151497e-14	-6.96066950077925e-15	1.387323858085542e-15	-2.87817616382569e-17	-1.839599368319387e-17	-7.400015359123434e-19	7.087129836991224e-06	0.005465284705756468	2e-10	1e-05
