particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
-25	-564.887258591173	-300.6765160470682	-29.03080475194237	6.482059290941111	0.2080208671052663	-0.1911955779806236	0.01921355773612938	0.002986106452733159	-0.001021342475506234	1.895431113771062e-05	3.942455565387741e-05	3.01991289572425e-06	2.205631393081831e-07	2.46929548330943e-06	1.398433494496983e-06	1e-05
-24	-562.2007488132097	-300.1876171685112	-29.61037706586108	6.342579778212081	0.2305641882892573	-0.187355208926648	0.01797442750804129	0.002978552206277085	-0.000970835053437341	1.47286028898637e-05	3.710572814569285e-05	2.852681996326159e-06	3.96545656311531e-08	3.765906702479782e-06	1.253653374216174e-06	1e-05
-23	-328.4628785396642	-115.8402377013882	13.82057296612921	6.096208373051348	-0.7844521320806422	-0.1357999080946362	0.04172953903178222	-0.0002623656956104287	-0.001467147359645836	0.0001378841613620588	6.05267923436249e-05	3.912545034699468e-06	4.545799803246098e-08	1.699124129950214e-06	1.123862370908758e-06	1e-05
-22	-380.6414418139717	-160.5613998723214	1.894867120595911	5.894987246486257	-0.4890373235293443	-0.1419101832658845	0.03359838912455925	0.0005440285026163516	-0.001258607779288661	9.983522186250652e-05	5.096300393041089e-05	3.390152267385107e-06	5.007358350184177e-08	1.651084367892963e-06	1.123862370908758e-06	1e-05
-21	-371.8384599948366	-155.870018586796	2.225397999591625	5.792272476620967	-0.4751126598157187	-0.1391136693686464	0.0323489218438307	0.000593540321060591	-0.001203802300775548	9.242324660775377e-05	4.804312387259481e-05	3.193356011922553e-06	4.080700000130832e-09	2.250728826536097e-06	1.007508658072544e-06	1e-05
-20	-374.3347504409397	-160.381458088988	0.2628934020685619	5.670630631886778	-0.4082727616603924	-0.137948795922165	0.02980953571532162	0.0007821812423798736	-0.001120575896674541	7.950097381829654e-05	4.394391305239858e-05	2.940261014750253e-06	7.462390616552739e-08	2.890870465788176e-06	9.032010701366824e-07	1e-05
-19	-388.9177425393099	-174.7255884493966	-4.173178887349779	5.512347314465805	-0.2869796893307031	-0.1379362113924169	0.02597012426724123	0.001093597318055755	-0.001009255172315271	6.176191484451843e-05	3.877838433054428e-05	2.636344434248547e-06	3.411299680511348e-07	3.493657000586126e-06	8.096924692009039e-07	1e-05
-18	-414.8488097476857	-198.3036732190557	-10.96089189167781	5.30193748990474	-0.1166328744249667	-0.1384002414873733	0.02098741466144858	0.001494807176302693	-0.0008738165619656239	4.053247526444233e-05	3.279996606474712e-05	2.293876012299646e-06	1.423672333356052e-07	3.96965294946483e-06	7.25864833819832e-07	1e-05
-17	-452.3047595613789	-231.2416392972592	-20.15057311867106	5.024492622680326	0.1013532669687026	-0.1388791598128051	0.01492243512321784	0.001966935767148495	-0.0007161399354958797	1.656459958903137e-05	2.615028566472622e-05	1.919810653283773e-06	5.9132550411789e-08	4.166853913356583e-06	6.50715891548648e-07	1e-05
-16	-500.8418700140912	-273.1628518585202	-31.66578242964709	4.667465717940726	0.3628195221377046	-0.1388901999011677	0.007900321860268388	0.002486823632723281	-0.0005394634837954932	-9.236103974177615e-06	1.901078170023098e-05	1.523047637181162e-06	9.088127517209443e-08	3.895723506230908e-06	5.833471354241853e-07	1e-05
