particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
6	4998.792072114649	5269.559189740842	2068.179192073846	318.5525244161262	-5.929242998902771	-6.129252652765659	0.05729731037905956	0.1266114582629724	-0.0008130031755667583	-0.003021129817489375	-0.0003146884382770838	-1.022674373607395e-05	5.048891393411026e-06	0.0005739148373860026	9.099828981430945e-08	1e-05
7	802.5779405179212	991.4037785614356	426.8546128879639	68.98756285036914	-1.589327325757557	-1.40613434651666	0.02635811455188258	0.02975536501732153	-0.0005799830188097478	-0.0007232086093049263	-6.819211053313687e-05	-1.965475488603541e-06	6.449844329292631e-06	0.0002265327469390677	1.263066628744654e-07	1e-05
8	-190.3386474000479	-53.00507350780931	13.07078680013079	3.98592217624258	-0.3938805075550054	-0.08089643580440772	0.01738059288478918	0.0004262628986530198	-0.0005200247008278088	2.95076226784186e-05	1.628731408196383e-05	1.002508555430234e-06	1.244359211449719e-06	7.725465151064981e-05	1.753150868993058e-07	1e-05
9	-110.3966033024355	14.11657587836915	31.08921839617151	4.626336153232596	-0.7569082067250793	-0.08390857840875504	0.02621159840698535	-0.0001171760276332573	-0.0007197019154280949	5.488426167102335e-05	2.32074077708173e-05	1.366890134636032e-06	1.126926836292341e-06	7.101116723529088e-05	2.18146363786872e-07	1e-05
10	-97.4061421921113	27.89359683138304	35.47298389756951	4.771829531683679	-0.8812705202791848	-0.08408940268106822	0.02997214865604058	-0.0003920001733033853	-0.0008207631719533789	6.925407277366504e-05	2.731675103129124e-05	1.597124519218445e-06	7.682771869799154e-07	5.926253382881885e-05	2.714417616594906e-07	1e-05
11	-138.572837522018	-1.67718368001294	28.89467986095969	4.616608499118067	-0.7948904873835487	-0.08470782001214135	0.02905646129180522	-0.0003399047169721219	-0.0008271275745023809	7.075887480513126e-05	2.836992334228781e-05	1.681315656649695e-06	1.725205233560345e-06	4.828360245623387e-05	3.377577727804503e-07	1e-05
12	-216.8134127327757	-61.07478253078437	14.89026468333885	4.348705739375867	-0.548967482451553	-0.08839408537383688	0.02442826196841913	4.894263480537545e-05	-0.000755099404144353	5.92618808954965e-05	2.65317523242229e-05	1.627474981612168e-06	1.293611715302845e-06	3.283252831709493e-05	4.202754667379372e-07	1e-05
13	-315.9054434466236	-137.3607380453651	-3.188957397254172	4.113278395912731	-0.1991705220880605	-0.09685448063757024	0.01722626153609003	0.0007528971223236012	-0.0006258665218104749	3.565878205455449e-05	2.218645031808871e-05	1.454374400991214e-06	5.269192890899888e-07	1.974817854710764e-05	5.229530811023117e-07	1e-05
14	-324.9392569831933	-141.9235873166287	-3.416840071812433	4.245010610639683	-0.2091733980367631	-0.1005973178019092	0.01818024393272498	0.0007656849237620671	-0.0006660912982573994	3.911488996953008e-05	2.396583690456172e-05	1.576554591434762e-06	3.553527172517335e-07	1.574568555862133e-05	5.833471354241853e-07	1e-05
15	-442.8005209541442	-233.5738338028562	-25.06004367437851	4.149608591026206	0.249965439498431	-0.1173645536515472	0.008097004299924136	0.001928194433500568	-0.000469772818929894	-2.436605651897246e-06	1.610981185751563e-05	1.237244495467725e-06	4.227151850777489e-07	8.163511589276418e-06	7.25864833819832e-07	1e-05
