particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	-1882.752500693613	-1199.972669927736	-177.8052557954313	18.35536446199526	2.175864875689836	-0.6201856691062122	0.04249058298728093	0.006625075491662056	-0.002148548403926579	0.0002605708440978344	-2.341050295785238e-06	-5.659248263250404e-06	1.258446240549196e-06	-1.349477653772737e-07	-1.391151557078948e-09	3.658941560079926e-09	-7.651542022655637e-10	7.163619261530313e-11	4.920983107047299e-12	-2.948664028877751e-12	4.265838887193223e-13	1.706964487906597e-14	-1.656814078905561e-14	-1.249750095000859e-15	9.657231114790221e-07	2.42094607725285e-05	4.202754667379372e-07	1e-05
-99	-1801.32339545406	-1145.789981997089	-169.1464937592634	17.57130031536526	2.056118997189507	-0.5906123148499118	0.0408972811616277	0.006222854050286629	-0.002039380876912298	0.0002489663339676923	-2.596750276828165e-06	-5.32542999059982e-06	1.193097179321112e-06	-1.289560530332043e-07	-1.071770425267737e-09	3.434984024106521e-09	-7.236506262562675e-10	6.840041072736104e-11	4.499405448672233e-12	-2.769891787006096e-12	4.034736310155557e-13	1.557713761538645e-14	-1.556353283539536e-14	-1.167910360735426e-15	1.271051124795974e-06	2.41124712259122e-05	4.202754667379372e-07	1e-05
-98	-1716.569728890642	-1089.503130796002	-160.1819205718979	16.75479716366269	1.932742550696925	-0.5599696921883075	0.03922768752605678	0.005809822652045263	-0.001926563057231023	0.0002369090722218829	-2.846252747532388e-06	-4.982266501217267e-06	1.125620148780349e-06	-1.227310272673374e-07	-7.512187704605424e-10	3.204993453185946e-09	-6.808608914626404e-10	6.504155263135281e-11	4.070138079053022e-12	-2.586224843655408e-12	3.796448584674024e-13	1.405782351455252e-14	-1.453135762058334e-14	-1.084010291623667e-15	1.563464642417856e-06	2.394884258571928e-05	4.202754667379372e-07	1e-05
-97	-1628.692293682057	-1031.245120194906	-150.9326348273196	15.90778721421463	1.806024442591942	-0.5283299062263849	0.0374857633336657	0.005386946318438415	-0.001810359657539667	0.0002244274208561209	-3.08898665870024e-06	-4.630561148234785e-06	1.056173300234102e-06	-1.162872813887941e-07	-4.302491139934488e-10	2.969509235948789e-09	-6.368852765057534e-10	6.15674641481893e-11	3.634195250085262e-12	-2.398094943192788e-12	3.551534319956512e-13	1.251531425277481e-14	-1.347404589909573e-14	-9.982481943057355e-16	1.841906756450129e-06	2.371888612384687e-05	4.202754667379372e-07	1e-05
-96	-1537.938224188104	-971.1788984253197	-141.4242807269396	15.03264978494949	1.676311901073809	-0.4957807334662103	0.03567644783897445	0.004955376373121863	-0.001691091005450377	0.0002115560940196711	-3.324349817605379e-06	-4.27127517356227e-06	9.849476541203627e-07	-1.096426636784231e-07	-1.097173416754886e-10	2.729175699247303e-09	-5.918445314560947e-10	5.798771959280001e-11	3.192768867524933e-12	-2.206018515451478e-12	3.300666359157698e-13	1.095385667272891e-14	-1.239450651582134e-14	-9.108604520214295e-16	2.106152787284543e-06	2.342437767755001e-05	4.202754667379372e-07	1e-05
-95	-1444.553709765536	-909.4668681205495	-131.6824329683532	14.13175601674595	1.543951455484793	-0.4624097199085782	0.03380466322887055	0.004516261973456981	-0.001569076693809811	0.0001983297211953051	-3.551740792662667e-06	-3.905367661360508e-06	9.121338060993741e-07	-1.028149869008633e-07	2.095239715982634e-10	2.484635497599617e-09	-5.458591253105271e-10	5.431187763973285e-11	2.747046157182404e-12	-2.010510506481537e-12	3.044515942870208e-13	9.377677831806623e-15	-1.129563932598107e-14	-8.220825905541509e-16	2.35510428248098e-06	2.306611666025304e-05	4.202754667379372e-07	1e-05
-94	-1348.77922658263	-846.2674439877127	-121.7319774038982	13.20742265526448	1.409279110992745	-0.4283021022723367	0.03187523856973737	0.004070714655200897	-0.001444627308997442	0.0001847820842672581	-3.770604251556115e-06	-3.533767103899095e-06	8.379168770203043e-07	-9.582162883051343e-08	5.266652784137915e-10	2.236510303237155e-09	-4.990459403721059e-10	5.054925951933524e-11	2.298167807439072e-12	-1.812069179498535e-12	2.783734388588477e-13	7.790837124408754e-15	-1.018025013066525e-14	-7.321420763465967e-16	2.588361161404151e-06	2.264559147557854e-05	4.202754667379372e-07	1e-05
-93	-1687.557179744782	-1073.239107701354	-159.7888475286863	15.96115278908867	1.959101350587537	-0.5387571815222377	0.03536343046982205	0.005862927452020997	-0.001828052236511722	0.0002158475442589283	-1.198310840656305e-06	-4.75348865973621e-06	1.029885352213619e-06	-1.077553660548863e-07	-1.451774441033575e-09	2.943939978106663e-09	-6.026913638392005e-10	5.522087884897315e-11	3.919202372978769e-12	-2.26271288262424e-12	3.220552636380939e-13	1.301851070738865e-14	-1.228941910701236e-14	-9.183855977359719e-16	1.344084899379538e-06	2.956918640673045e-05	3.767642573276692e-07	1e-05
-92	-1608.382461692181	-1020.44857121648	-151.2537943208175	15.22611371558386	1.839953606614692	-0.5106943341925375	0.0339794068601379	0.005467348377924687	-0.001726018034321468	0.0002054896414586749	-1.516239203319738e-06	-4.441063078000323e-06	9.710281910323247e-07	-1.026250413283559e-07	-1.120047745471767e-09	2.741720280644202e-09	-5.664950687239764e-10	5.254708275721082e-11	3.531324218744272e-12	-2.108263557877056e-12	3.027250230161682e-13	1.168542677832558e-14	-1.144805851352471e-14	-8.496398500672952e-16	2.250794116420707e-06	2.947936503017168e-05	3.767642573276692e-07	1e-05
-91	-1525.217039106121	-965.1201389501375	-142.3429599018794	14.45340378284413	1.716219784331217	-0.4813670387170463	0.03251237638174061	0.005058023832060878	-0.00161970362452339	0.0001946281895683041	-1.831880557108617e-06	-4.117440799084361e-06	9.097608484327388e-07	-9.724513007550347e-08	-7.8421793410727e-10	2.532505453592056e-09	-5.288828592123255e-10	4.97459922002272e-11	3.133595443427814e-12	-1.948409358711812e-12	2.826368430653944e-13	1.031905320761314e-14	-1.057724073491177e-14	-7.786613189095011e-16	2.046292889801293e-06	2.928855937422981e-05	3.767642573276692e-07	1e-05
