particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	8247.410150753949	4963.9591336453	635.8130873855889	-84.92361275057081	-5.786573426535988	2.427659991864264	-0.2369557774999755	-0.01334975601079365	0.007768693150094404	-0.001204044201562926	6.352160642153197e-05	1.50567959810345e-05	-4.718408321469685e-06	6.564387900309694e-07	-2.785794799649973e-08	-1.013021844808137e-08	2.891552151992742e-09	-3.596868523159354e-10	-3.165396779230367e-13	9.687074919070939e-12	-1.779157249184806e-12	-5.754383348682876e-15	5.993458706822052e-14	3.963842933917238e-15	2.129623263957825e-06	0.0002476557746333707	5.229530811023117e-07	1e-05
-99	7622.641681697556	4562.371657029145	576.6804077519981	-78.45920745593598	-5.060533471664503	2.207315889346471	-0.220812608249661	-0.01103915242587181	0.006968987091564818	-0.001102896009603519	6.218624839776986e-05	1.285990275367619e-05	-4.210466295484814e-06	6.001265650587856e-07	-2.831863562377905e-08	-8.568451787687411e-09	2.555854313342597e-09	-3.275540353272598e-10	1.961343181480219e-12	8.300352628897582e-12	-1.574996627824617e-12	2.922671856724103e-15	5.158166875042839e-14	3.314122702397408e-15	5.022043290114908e-06	0.000251089627950396	5.229530811023117e-07	1e-05
-98	6952.762800211779	4131.570245688485	513.1734118720279	-71.53033424101851	-4.279039713520463	1.970764384029817	-0.2035410563975042	-0.008546582199736651	0.006109527153617271	-0.0009944360811243523	6.080899465939582e-05	1.049153885446842e-05	-3.664350135432485e-06	5.397529977868199e-07	-2.88565734466916e-08	-6.883309954071242e-09	2.194609250387236e-09	-2.930972402571404e-10	4.44222105600323e-12	6.804395753321186e-12	-1.355306409919455e-12	1.237815656549756e-14	4.257042344060183e-14	2.611857851521229e-15	7.70367344016254e-06	0.0002538056962642088	5.229530811023117e-07	1e-05
-97	6317.119140735607	3723.555882417147	453.2503236487884	-64.95438354649244	-3.546591191616411	1.747382287120249	-0.1870794660230112	-0.006223748600081826	0.005300487398882534	-0.0008917495980986098	5.937651971633873e-05	8.279119980838976e-06	-3.15082404456505e-06	4.826070806467201e-07	-2.927065994725814e-08	-5.311397077041945e-09	1.855581611554919e-09	-2.605122428451351e-10	6.711629797401978e-12	5.407548592199168e-12	-1.149086133292584e-12	2.10299273106309e-14	3.415401621843188e-14	1.958332904298125e-15	7.819934748631852e-06	0.00025630859080783	5.229530811023117e-07	1e-05
-96	5677.044236159332	3312.979993615691	393.0293643312039	-58.33309398533957	-2.812160795134384	1.522843306366193	-0.1704844368036036	-0.003898752812566401	0.004488108914103363	-0.0007884592372703037	5.789709303948531e-05	6.062662090042652e-06	-2.635352214627398e-06	4.251366172099534e-07	-2.966031831626882e-08	-3.737061295513867e-09	1.515450855663841e-09	-2.277540578933683e-10	8.972793589632268e-12	4.007981406390234e-12	-9.421773721672503e-13	2.965389978026754e-14	2.571994337739381e-14	1.304006311110589e-15	5.814078392729627e-06	0.0002583276280596625	5.229530811023117e-07	1e-05
-95	5032.950965721201	2900.113951971598	332.552134082157	-51.67075062965161	-2.076293754845153	1.297301514089048	-0.1537662609486833	-0.001573414331130583	0.003672968504037871	-0.0006846342542950586	5.637083595296135e-05	3.843854026594352e-06	-2.118304555635984e-06	3.673804099386664e-07	-3.002468255411527e-08	-2.161511968075689e-09	1.174465145433259e-09	-1.948450745111134e-10	1.12237114545722e-11	2.606756249849726e-12	-7.347306854763558e-13	3.824252903301361e-14	1.727457529874275e-14	6.493850175943536e-16	3.822028564748337e-06	0.0002597444450107567	5.229530811023117e-07	1e-05
-94	7859.638138369603	4760.325875640208	624.4777088816086	-78.91860741389922	-6.027997745386829	2.300174766749397	-0.2102405836019086	-0.01476837302227895	0.007340857258328649	-0.001080578582668374	4.891995171080152e-05	1.494762319024654e-05	-4.310764638373394e-06	5.695804732531874e-07	-1.946421080277986e-08	-9.665378322062795e-09	2.564696260871209e-09	-3.023618365899101e-10	-3.179690544972151e-12	8.632195348196445e-12	-1.506466796324728e-12	-1.374350235422872e-14	5.121143089584954e-14	3.443685851140156e-15	1.871975819245364e-06	0.0002740883450491616	4.688116362061805e-07	1e-05
-93	7303.699221185049	4401.900672043743	570.9164000608504	-73.34431073081491	-5.356763017135758	2.10786463831219	-0.1970946515453949	-0.01263579846886192	0.00665177654564018	-0.0009971883655387568	4.84281538071228e-05	1.30376275094168e-05	-3.889012484420635e-06	5.249211799444846e-07	-2.021798882642241e-08	-8.358703308550871e-09	2.295031125351134e-09	-2.777610203118254e-10	-1.172536086776139e-12	7.528119229844806e-12	-1.349466122431785e-12	-6.38855772086565e-15	4.478376994883607e-14	2.941546840762545e-15	3.211878085496167e-06	0.0002747584631932476	4.688116362061805e-07	1e-05
-92	6741.975766728906	4040.022227341271	516.9155104118161	-67.71210321020034	-4.681591781291099	1.91392741765957	-0.1837915442879481	-0.0104944876555662	0.005957649456865284	-0.000913021821111701	4.789519570983728e-05	1.111827617110492e-05	-3.46432698412213e-06	4.798544342275248e-07	-2.095379498071358e-08	-7.046084700852489e-09	2.023652147558763e-09	-2.529454591171791e-10	8.338068014717341e-13	6.41861562912163e-12	-1.191455429298519e-12	9.651744447777389e-16	3.832368903910956e-14	2.437352118706669e-15	4.552450065808955e-06	0.0002748410295849713	4.688116362061805e-07	1e-05
-91	6174.931504510067	3674.99100133303	462.5203711185998	-62.02663078095769	-4.00306136310121	1.718525522611675	-0.1703420830089405	-0.008346298679441477	0.00525906266048698	-0.000828148900314073	4.732125658600972e-05	9.191225125749848e-06	-3.037068216085641e-06	4.34417730980795e-07	-2.167083223852468e-08	-5.728659145135511e-09	1.750790676743623e-09	-2.279358670859237e-10	2.837524367996946e-12	5.304642675641055e-12	-1.032569357863846e-12	8.311056744222528e-15	3.183676159589505e-14	1.931540339810386e-15	3.631589738706253e-06	0.0002743341849558156	4.688116362061805e-07	1e-05
