particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
-20	-607.0818991679361	-331.802928894716	-33.6124730919257	7.223356835384924	0.2723042546298393	-0.2197659847417043	0.02130355060721787	0.003569149841531583	-0.001177407891819525	1.840850139412506e-05	4.595088298393042e-05	3.563988086230553e-06	3.660988562748102e-06	3.811712375667575e-05	1.398433494496983e-06	1e-05
-19	-638.7592086359589	-351.1943035266074	-36.44607074214682	7.501179338727925	0.3174310783219001	-0.228985622659462	0.02117454163552688	0.003775395377218257	-0.001190028590541803	1.500485017140651e-05	4.588468648117425e-05	3.556973007248185e-06	3.562865817929861e-07	5.327666898713446e-05	1.253653374216174e-06	1e-05
-18	2898.978591208143	2470.208246972546	640.9028686800049	6.183606481365312	-15.66605287699349	0.4973843225360897	0.4070309106868785	-0.04590565886255178	-0.00964081265242551	0.001975951891714782	0.0004425143749243601	2.244291590135861e-05	1.117691539320731e-07	2.01552504696112e-05	1.123862370908758e-06	1e-05
-17	2806.837431047134	2393.45282218355	623.8922286929135	7.631767284561416	-15.00991471745983	0.4215401244798774	0.3877511041199909	-0.04182432768603577	-0.009138554724861964	0.001799962964682455	0.000408070761824011	2.072059344084091e-05	7.158549383268209e-07	2.471025597583498e-05	1.007508658072544e-06	1e-05
-16	1771.113497645606	1557.721293287703	420.7257265720651	8.002716624541945	-10.08582953366478	0.1987174044340887	0.2654006970844365	-0.02608364528509432	-0.006368863537693614	0.001161250747952521	0.00027548959734991	1.425846140698491e-05	3.916868207554103e-08	2.9978526418728e-05	9.032010701366824e-07	1e-05
-15	-98.70680536816081	51.97037796846984	51.40053558898701	6.163904372443779	-1.549963146112227	-0.1079340792024551	0.05788192561164585	-0.002067564620811277	-0.001765815417157271	0.0001982641898869993	7.136983274099595e-05	4.339269487211311e-06	2.35209397647651e-06	0.0001385502493591595	8.096924692009039e-07	1e-05
-14	-2204.991590282697	-1643.944671704973	-367.747668943884	2.085603523926944	7.833205925355656	-0.3817392886317776	-0.1673033957197863	0.02191249161316501	0.003172671832565213	-0.0007596552682490715	-0.0001360110371538415	-5.749863780279509e-06	4.124487966938872e-06	0.000273552656914644	7.25864833819832e-07	1e-05
-13	-2195.814332619287	-1648.264169002351	-374.2482789084702	0.5193224915008261	7.898827792753957	-0.3379187609264577	-0.1704769956037965	0.02087195371601284	0.003292706658282758	-0.0007339602205406571	-0.0001364378019353782	-5.906178087052468e-06	5.008234813530521e-06	0.000137476149185467	6.50715891548648e-07	1e-05
-12	-9056.752024417568	-7144.385041244905	-1741.153087013344	-22.28408987778954	36.6613597727904	-0.8836134846975876	-0.8384313306678732	0.08270542612667377	0.01748101486299594	-0.003170184326664817	-0.0006781958053015108	-3.208392563521085e-05	7.144739790687638e-06	0.001392231694262946	5.229530811023117e-07	1e-05
-11	-8284.136808862328	-6542.514310442528	-1603.231879694199	-24.48059202214921	33.26169058431785	-0.6840259376059521	-0.7579443538391438	0.07129965134798913	0.01576734192643357	-0.002745196510047952	-0.0005965646390496479	-2.832026729445043e-05	6.869422620736643e-06	0.001204691490954479	4.688116362061805e-07	1e-05
