particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
-20	-607.0820165162369	-331.8029973180339	-33.61248070918666	7.223358367786306	0.2723043270294122	-0.2197660340670311	0.02130355521322201	0.003569150663602451	-0.001177408156619746	1.840850585537356e-05	4.595089313618354e-05	3.563988842242324e-06	3.660989114973034e-06	3.811714699841762e-05	1.398433494496983e-06	1e-05
-19	-638.7593536166086	-351.1943879558154	-36.44608023559643	7.501181188148665	0.3174311714119925	-0.2289856818624446	0.02117454695845002	0.003775396368743065	-0.001190028898625431	1.500485460711932e-05	4.588469813490211e-05	3.556973874520012e-06	3.56285936087275e-07	5.327670325105949e-05	1.253653374216174e-06	1e-05
-18	2898.980740450586	2470.209994624828	640.9032998840953	6.183607626252507	-15.66606319320032	0.4973847315751429	0.4070311679542769	-0.04590569015456583	-0.009640818497730316	0.001975953174371153	0.000442514646322914	2.24429291816938e-05	1.117729020450042e-07	2.015526527388012e-05	1.123862370908758e-06	1e-05
-17	2806.839764351679	2393.454718472413	623.8926981093401	7.631769647465076	-15.00992576780052	0.4215405252268484	0.3877513777220368	-0.04182435965775608	-0.00913856090125471	0.001799964269993237	0.0004080710405627589	2.072060707853199e-05	7.158670285445368e-07	2.471027132200376e-05	1.007508658072544e-06	1e-05
-16	1771.115862938486	1557.723214920564	420.7262039208462	8.002720155240352	-10.08584059177728	0.1987177682316818	0.2654009690027215	-0.02608367578859643	-0.006368869638604298	0.001161251989709969	0.0002754898651519315	1.425847451235559e-05	3.915959412292835e-08	2.997851253083716e-05	9.032010701366824e-07	1e-05
-15	-98.70463463328082	51.97214294375397	51.40097619559894	6.163908757472803	-1.549973197428578	-0.1079337848246377	0.05788217150295909	-0.002067591007683416	-0.001765820910577705	0.0001982652641740899	7.137006735973905e-05	4.33928098739103e-06	2.352076706624295e-06	0.0001385502369968261	8.096924692009039e-07	1e-05
-14	-2204.989592537921	-1643.943046768476	-367.7472615610282	2.085608554379366	7.83319677669154	-0.3817390519346243	-0.1673031732190166	0.02191246875110433	0.003172666886832684	-0.000759654337436285	-0.0001360108314399378	-5.749853685466025e-06	4.124501741253894e-06	0.0002735526374686437	7.25864833819832e-07	1e-05
-13	-2195.812384394799	-1648.262586094954	-374.2478811989745	0.5193282008425067	7.898819008700506	-0.3379185594074305	-0.170476783703109	0.02087193278187116	0.003292701983491117	-0.0007339593702414173	-0.0001364376123500739	-5.906168789282614e-06	5.008209952972464e-06	0.0001374761350322329	6.50715891548648e-07	1e-05
-12	-9056.75001803034	-7144.383410203197	-1741.152673977756	-22.28408210243983	36.66135093514588	-0.8836133390743072	-0.8384311200218615	0.08270540707862103	0.0174810102638685	-0.003170183549952652	-0.0006781956277700777	-3.208391690709657e-05	7.144757183663586e-06	0.001392231646432984	5.229530811023117e-07	1e-05
-11	-8284.134893607203	-6542.512757258758	-1603.231486301875	-24.48058400237376	33.26168231238503	-0.6840258209910985	-0.7579441586601576	0.07129963432335693	0.01576733770587816	-0.002745195818129763	-0.000596564479885002	-2.832025948544472e-05	6.869415396293377e-06	0.001204691516117018	4.688116362061805e-07	1e-05
-10	-7418.724667835716	-5875.927863046461	-1456.073950237109	-29.25972194730448	29.32543962180434	-0.3996137170039479	-0.6634894027386509	0.05662459609027573	0.01373700121348804	-0.002207436305441934	-0.0004953901708797769	-2.367421889056487e-05	1.814519386744706e-05	0.0004253916411824932	3.767642573276692e-07	1e-05
-9	-6078.520785361949	-4825.387266969401	-1208.279705857435	-29.83849407130461	23.61025692945336	-0.1625278835652458	-0.5303485188276346	0.04089870075728651	0.0109295385658842	-0.001622964684013878	-0.0003767989604180385	-1.813107016305491e-05	1.102245627615517e-05	0.0003750832160616113	3.027896379629122e-07	1e-05
-8	-4259.442192167559	-3387.296106464483	-857.1444528054984	-25.10588155862025	16.24577006623082	0.0003337198067112601	-0.3629336600670863	0.02503832670133101	0.007462499289709859	-0.001021607298387132	-0.0002466562693352695	-1.197187464379474e-05	9.914072864547485e-06	0.0005980427678098366	2.43339337728039e-07	1e-05
-7	-2678.568484631738	-2131.627113648089	-545.1680193266379	-18.5252385173663	10.01751174925822	0.07330064241653694	-0.2231702880618874	0.013549516715797	0.004596028403279263	-0.0005772076466601676	-0.000146120238584014	-7.175756412692262e-06	4.29401330770407e-06	0.0009664151170217794	1.955616238531041e-07	1e-05
-6	-22600.76105737413	-22627.62572556733	-8444.661457736063	-1202.933476103204	42.10236710773788	24.3999145586507	-0.6261791330957795	-0.519682411135898	0.01075486724024671	0.01313130922027466	0.001313660898489102	4.203050211969312e-05	5.565216506520088e-07	0.0005367849813586734	1.408933853444354e-07	1e-05
-5	-22054.35416325415	-22213.17126111518	-8395.164637446584	-1242.45533172299	28.34067617517384	23.71831129827614	-0.3080154528586587	-0.4848685280094517	0.004363249044722758	0.01154865063644359	0.001191913909889463	3.870698021101514e-05	2.162639029745783e-05	0.0006073017251457813	9.099828981430945e-08	1e-05
-4	-13601.52468503489	-13735.57779968436	-5243.315314233627	-804.2876424906566	8.456531270663787	14.21206367585281	0.002201204650125936	-0.2754672289803549	-0.0008225240564081873	0.00611544179422254	0.0006498516808341517	2.129351358851884e-05	1.40768732408425e-05	0.0007448974425329213	5.268797569762922e-08	1e-05
-3	-3351.38023404842	-3471.81695872669	-1384.440053245514	-232.8437703247716	-2.736134803915547	3.664109364890714	0.09597983189665296	-0.06713873725594161	-0.001793367244412697	0.001371888575542283	0.0001594692934073053	5.441495566532398e-06	1.629367785582758e-06	0.002782959151480746	2.197843502423164e-08	1e-05
-2	3041.183409018869	2922.698892235023	1057.366498401756	157.1179915584697	0.823262014503221	-2.013169495294669	-0.02837814265393513	0.02910917765628274	0.0003705037902094189	-0.0004679705164117066	-4.416386756672301e-05	-1.239829703266961e-06	3.384957956786838e-05	0.003642593649245685	5.921403328592062e-09	1e-05
-1	-1007.524895309062	-1040.675243476527	-469.2849239320694	-115.8668292590963	-15.19559098243806	-0.5129224269494346	0.1294915719606323	0.01354556805831291	-0.0009333294332799491	-0.0002521643602996427	-1.716223614687376e-05	-4.10791378107491e-07	0.0001830558641502389	0.01086004644476701	2e-10	1e-05
0	281.5062946265173	465.6546472257408	271.4649685988228	76.2043329878361	10.2298855248957	0.2680979868794503	-0.09111917702324648	-0.007412048343914418	0.0007025369845708473	0.0001399534697162151	8.181341058688585e-06	1.717115996912174e-07	1.983545543371434e-07	0.003865522767866336	2e-10	1e-05
1	-1650.834218604722	-1819.435729331708	-858.1337380582324	-216.0127856943512	-27.96812731921438	-0.8218428218313739	0.2430573984280168	0.02271469822276306	-0.001804755418739025	-0.0004276949221410839	-2.75602855546847e-05	-6.322499707198874e-07	3.014320199334897e-06	0.02399640745198184	2e-10	1e-05
2	2494.027337427891	2370.662114817717	845.6481754112543	122.9967116068602	0.2983562263094215	-1.570758040865236	-0.01622077540255107	0.02239582464045535	0.0001976707254210832	-0.0003556558485593634	-3.236419216884631e-05	-8.784711591417811e-07	1.311898723388438e-05	0.01946558445791857	5.921403328592062e-09	1e-05
